City,Year,Quarter,index_nsa,Median Household Income,Total Population,INDPRO,VIXCLS,CPI,Unemployment Rate,City GDP
Houston,2001,3,138.61,37046.425,1989750.0,89.02236666666666,25.99276923076923,2.826171636581421,5.0,213736837.0
Houston,2001,4,139.98,37189.9,1994000.0,88.04763333333334,27.763863636363634,2.826171636581421,5.066666666666666,213736837.0
Houston,2002,1,140.73,37333.375,1999500.0,88.68256666666666,21.397421875,1.5860344171524048,5.766666666666667,213410019.0
Houston,2002,2,142.45,37476.85,2005000.0,90.05303333333332,21.611769230769234,1.5860344171524048,6.1000000000000005,213410019.0
Houston,2002,3,144.33,37620.325,2010500.0,90.61046666666668,34.98409090909091,1.5860344171524048,6.266666666666667,213410019.0
Houston,2002,4,146.29,37763.8,2016000.0,90.56136666666667,30.618409090909093,1.5860344171524048,6.0,213410019.0
Houston,2003,1,147.34,37907.275,2017000.0,91.12933333333335,29.951484375,2.270094156265259,6.733333333333333,222790643.0
Houston,2003,2,148.28,38050.75,2018000.0,90.45023333333334,21.50423076923077,2.270094156265259,7.0,222790643.0
Houston,2003,3,149.15,38194.225,2019000.0,91.05403333333334,19.318787878787877,2.270094156265259,7.1000000000000005,222790643.0
Houston,2003,4,150.67,38337.7,2020000.0,91.93486666666666,17.40409090909091,2.270094156265259,6.333333333333333,222790643.0
Houston,2004,1,152.17,38481.175,2019250.0,92.5877,16.640923076923077,2.6772384643554688,6.533333333333334,250918295.0
Houston,2004,2,153.65,38624.65,2018500.0,93.1151,16.19969230769231,2.6772384643554688,6.266666666666667,250918295.0
Houston,2004,3,155.69,38768.125,2017750.0,93.63853333333333,15.423560606060606,2.6772384643554688,6.166666666666667,250918295.0
Houston,2004,4,156.72,38911.6,2017000.0,94.97083333333335,13.608030303030302,2.6772384643554688,5.866666666666667,250918295.0
Houston,2005,1,158.82,39055.075,2018250.0,96.29463333333332,12.784453125,3.39274525642395,5.8999999999999995,270713825.0
Houston,2005,2,160.36,39198.55,2019500.0,96.83603333333333,13.39676923076923,3.39274525642395,5.366666666666667,270713825.0
Houston,2005,3,162.51,39342.025,2020750.0,96.42483333333332,12.255151515151516,3.39274525642395,5.733333333333333,270713825.0
Houston,2005,4,165.36,39485.5,2022000.0,97.305,12.724461538461538,3.39274525642395,5.733333333333333,270713825.0
Houston,2006,1,167.53,39628.975,2031250.0,98.229,12.031,3.2259416580200195,5.566666666666666,303333173.0
Houston,2006,2,170.26,39772.45,2040500.0,98.80993333333333,14.526923076923078,3.2259416580200195,5.233333333333333,303333173.0
Houston,2006,3,172.6,39915.925,2049750.0,99.20146666666666,13.587615384615386,3.2259416580200195,5.066666666666666,303333173.0
Houston,2006,4,174.08,40059.4,2059000.0,99.4439,11.029923076923078,3.2259416580200195,4.3,303333173.0
Houston,2007,1,176.37,40202.875,2060500.0,100.45546666666667,12.470076923076922,2.8526782989501953,4.5,338013087.0
Houston,2007,2,179.41,40346.35,2062000.0,101.61796666666667,13.718923076923078,2.8526782989501953,4.133333333333334,338013087.0
Houston,2007,3,179.98,40489.825,2063500.0,101.7108,21.513846153846156,2.8526782989501953,4.433333333333334,338013087.0
Houston,2007,4,181.38,40633.3,2065000.0,102.0459,22.04189393939394,2.8526782989501953,4.1000000000000005,338013087.0
Houston,2008,1,183.26,40776.775,2069750.0,101.7919,26.10369230769231,3.8391003608703613,4.333333333333333,339675382.0
Houston,2008,2,183.89,40920.25,2074500.0,100.25393333333334,20.656384615384614,3.8391003608703613,4.333333333333333,339675382.0
Houston,2008,3,184.8,41063.725,2079250.0,96.94203333333333,25.019772727272727,3.8391003608703613,5.066666666666666,339675382.0
Houston,2008,4,184.67,41207.2,2084000.0,92.7956,58.33143939393939,3.8391003608703613,5.266666666666667,339675382.0
Houston,2009,1,187.02,41350.675,2092750.0,87.56103333333334,45.02765625,-0.35554906725883484,6.3,330630158.0
Houston,2009,2,185.7,41494.15,2101500.0,85.13616666666667,33.05823076923077,-0.35554906725883484,7.2,330630158.0
Houston,2009,3,184.83,41637.625,2110250.0,86.5689,25.530833333333334,-0.35554906725883484,8.6,330630158.0
Houston,2009,4,184.32,41781.1,2119000.0,87.92003333333332,23.01462121212121,-0.35554906725883484,8.299999999999999,330630158.0
Houston,2010,1,183.15,41924.575,2116052.0,89.60996666666666,20.159765625,1.6400398015975952,8.633333333333333,356088066.0
Houston,2010,2,183.41,42068.05,2113104.0,91.35513333333334,26.36476923076923,1.6400398015975952,8.233333333333333,356088066.0
